epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,424.483,1.99218,1.93593,1.11378,0.96982,0,0.91391,0.86996,0.94556,0.40796,0.78739,0.85073,0.85953,0.29059,1.72467,1.9132,0.94739,0.90295,0,0.000940855,0.000940855,0.000940855
68,430.708,1.89966,2.00869,1.09902,0.94018,0,0.92486,0.98901,0.98211,0.41818,0.81511,0.87912,0.83131,0.27965,1.71635,1.89588,0.90374,0.90309,0,0.000929853,0.000929853,0.000929853
69,437.258,2.02291,2.13917,1.07479,0.92412,0,0.92486,0.98901,0.98211,0.41818,0.81511,0.87912,0.83131,0.27965,1.71635,1.89588,0.90374,0.90309,0,0.00091885,0.00091885,0.00091885
70,443.769,1.90648,1.8168,0.99659,0.95048,0,0.92486,0.98901,0.98211,0.41818,0.81511,0.87912,0.83131,0.27965,1.71635,1.89588,0.90374,0.90309,0,0.000907848,0.000907848,0.000907848
71,449.877,1.92939,1.95563,1.02878,0.92948,0,0.92486,0.98901,0.98211,0.41818,0.81511,0.87912,0.83131,0.27965,1.71635,1.89588,0.90374,0.90309,0,0.000896846,0.000896846,0.000896846
72,455.816,1.96283,1.932,1.03744,0.98383,0,0.98896,0.99451,0.98662,0.42271,0.82235,0.82692,0.77672,0.2546,1.72603,1.87928,0.86935,0.90526,0,0.000885844,0.000885844,0.000885844
73,462.018,1.99729,1.97428,1.02093,0.95477,0,0.98896,0.99451,0.98662,0.42271,0.82235,0.82692,0.77672,0.2546,1.72603,1.87928,0.86935,0.90526,0,0.000874842,0.000874842,0.000874842
74,468.398,1.85656,1.93826,0.98186,0.9295,0,0.98896,0.99451,0.98662,0.42271,0.82235,0.82692,0.77672,0.2546,1.72603,1.87928,0.86935,0.90526,0,0.000863839,0.000863839,0.000863839
75,474.557,1.85709,1.98495,0.95842,0.93766,0,0.98896,0.99451,0.98662,0.42271,0.82235,0.82692,0.77672,0.2546,1.72603,1.87928,0.86935,0.90526,0,0.000852837,0.000852837,0.000852837
76,480.712,1.76672,1.92006,0.91732,0.94968,0,0.97148,0.98901,0.97849,0.40827,0.75137,0.7674,0.71265,0.21452,1.83887,1.93232,0.9077,0.92928,0,0.000841835,0.000841835,0.000841835
77,487.546,1.87459,1.98673,0.98372,0.9256,0,0.97148,0.98901,0.97849,0.40827,0.75137,0.7674,0.71265,0.21452,1.83887,1.93232,0.9077,0.92928,0,0.000830833,0.000830833,0.000830833
78,494.591,1.99149,1.95663,0.9888,0.9433,0,0.97148,0.98901,0.97849,0.40827,0.75137,0.7674,0.71265,0.21452,1.83887,1.93232,0.9077,0.92928,0,0.000819831,0.000819831,0.000819831
79,500.964,1.95161,2.0397,0.99809,0.95198,0,0.95999,0.98901,0.9793,0.4017,0.7339,0.76141,0.6825,0.19484,1.82284,1.87733,0.91293,0.92071,0,0.000808828,0.000808828,0.000808828
80,507.195,1.91918,1.88774,1.01059,0.97542,0,0.95999,0.98901,0.9793,0.4017,0.7339,0.76141,0.6825,0.19484,1.82284,1.87733,0.91293,0.92071,0,0.000797826,0.000797826,0.000797826
81,513.343,1.9071,1.86775,0.99304,0.93593,0,0.95999,0.98901,0.9793,0.4017,0.7339,0.76141,0.6825,0.19484,1.82284,1.87733,0.91293,0.92071,0,0.000786824,0.000786824,0.000786824
82,519.672,1.95985,1.99787,1.00438,0.94213,0,0.95999,0.98901,0.9793,0.4017,0.7339,0.76141,0.6825,0.19484,1.82284,1.87733,0.91293,0.92071,0,0.000775822,0.000775822,0.000775822
83,525.885,1.8903,2.00513,0.98511,0.94245,0,0.97462,0.99176,0.98673,0.41848,0.70138,0.71795,0.66297,0.19983,1.71291,1.8562,0.92433,0.89469,0,0.00076482,0.00076482,0.00076482
84,532.031,1.78203,2.03124,0.97892,0.92562,0,0.97462,0.99176,0.98673,0.41848,0.70138,0.71795,0.66297,0.19983,1.71291,1.8562,0.92433,0.89469,0,0.000753817,0.000753817,0.000753817
85,538.617,1.90417,2.02257,0.99256,0.90954,0,0.97462,0.99176,0.98673,0.41848,0.70138,0.71795,0.66297,0.19983,1.71291,1.8562,0.92433,0.89469,0,0.000742815,0.000742815,0.000742815
86,545.017,1.94157,2.06763,0.99144,0.9374,0,0.97462,0.99176,0.98673,0.41848,0.70138,0.71795,0.66297,0.19983,1.71291,1.8562,0.92433,0.89469,0,0.000731813,0.000731813,0.000731813
87,551.228,1.88859,1.9377,0.99302,0.93257,0,0.97265,0.99451,0.98829,0.42421,0.74293,0.75916,0.70676,0.21582,1.68826,1.83384,0.94884,0.8906,0,0.000720811,0.000720811,0.000720811
88,557.371,1.91148,2.0475,0.97804,0.92643,0,0.97265,0.99451,0.98829,0.42421,0.74293,0.75916,0.70676,0.21582,1.68826,1.83384,0.94884,0.8906,0,0.000709809,0.000709809,0.000709809
89,563.475,1.88869,1.94146,0.99095,0.91786,0,0.97265,0.99451,0.98829,0.42421,0.74293,0.75916,0.70676,0.21582,1.68826,1.83384,0.94884,0.8906,0,0.000698806,0.000698806,0.000698806
90,569.605,1.87953,1.9934,0.97083,0.95443,0,0.97265,0.99451,0.98829,0.42421,0.74293,0.75916,0.70676,0.21582,1.68826,1.83384,0.94884,0.8906,0,0.000687804,0.000687804,0.000687804
91,575.823,1.86819,2.03681,0.98355,0.92792,0,0.97035,0.99176,0.98705,0.42766,0.71776,0.73535,0.69659,0.21511,1.69098,1.84808,0.95264,0.89465,0,0.000676802,0.000676802,0.000676802
92,581.984,1.82337,1.81965,0.93342,0.93888,0,0.97035,0.99176,0.98705,0.42766,0.71776,0.73535,0.69659,0.21511,1.69098,1.84808,0.95264,0.89465,0,0.0006658,0.0006658,0.0006658
93,588.159,1.87174,1.95451,0.9962,0.96019,0,0.97035,0.99176,0.98705,0.42766,0.71776,0.73535,0.69659,0.21511,1.69098,1.84808,0.95264,0.89465,0,0.000654798,0.000654798,0.000654798
94,594.328,1.83223,1.85077,0.96604,0.91637,0,0.98673,0.99176,0.9872,0.43022,0.65878,0.66117,0.60074,0.1801,1.72066,1.86513,0.93011,0.89782,0,0.000643795,0.000643795,0.000643795
